// base de dados dos filmes
1,Moana,B,90,10,1800001
2,Prisoners,Drama,120,16,2100000
3,The Grand Budapest Hotel,Comedy,99,14+,1900000
4,No Country for Old Men,Crime,122,18+,2000000
5,Ex Machina,Sci-Fi,108,16+,1700000
6,Parasite,Drama,132,16+,3300000
7,Birdman,Drama,119,16+,1800000
8,Mad Max: Fury Road,Action,120,16+,3000000
9,Blade Runner 2049,Thriller,164,16+,2700000
10,Whiplash,Music,106,14+,2500000
11,Joker,Crime,122,18+,3500000
12,Arrival,Sci-Fi,116,12+,2600000
13,The Social Network,Biography,120,13+,2400000
14,Fight Club,Psychological,139,18+,3200000
15,The Prestige,Mystery,130,13+,2300000
16,Get Out,Horror,104,16+,3000000
17,Black Swan,Psychological,108,18+,2800000
18,The Imitation Game,Biography,113,12+,2200000
19,Her,Romance,126,14+,2100000
20,Drive,Action,100,18+,1900000
21,Inglourious Basterds,War,153,18+,3400000
